source_issue_id,target_issue_id,name
MRM-815,MRM-1345,dependent
MRM-59,MRM-43,dependent
MRM-980,MRM-1397,dependent
MRM-980,MRM-1398,dependent
MRM-980,MRM-1400,dependent
MRM-980,MRM-1401,dependent
MRM-980,MRM-1402,dependent
MRM-980,MRM-1403,dependent
MRM-980,MRM-1404,dependent
MRM-980,MRM-1406,dependent
MRM-980,MRM-1408,dependent
MRM-980,MRM-1407,dependent
MRM-926,MRM-915,dependent
MRM-506,MRM-515,dependent
MRM-593,MRM-594,dependent
MRM-569,MRM-570,dependent
MRM-508,MRM-515,dependent
MRM-562,MRM-109,dependent
MRM-557,MRM-563,dependent
MRM-505,MRM-515,dependent
MRM-516,MRM-570,dependent
MRM-243,MRM-463,dependent
MRM-261,MRM-262,dependent
MRM-265,MRM-37,dependent
MRM-711,MRM-677,dependent
MRM-747,MRM-913,dependent
MRM-769,MRM-463,dependent
MRM-739,MRM-712,dependent
MRM-777,MRM-677,dependent
MRM-1771,MRM-1704,dependent
MRM-1941,MRM-1828,dependent
MRM-1329,MRM-1327,dependent
MRM-1318,MRM-1345,dependent
MRM-1318,MRM-815,dependent
MRM-1383,MRM-1360,dependent
MRM-1383,MRM-1347,dependent
MRM-1383,MRM-1348,dependent
MRM-1383,MRM-1380,dependent
MRM-1383,MRM-1381,dependent
MRM-1383,MRM-1385,dependent
MRM-1383,MRM-1359,dependent
MRM-1383,MRM-1379,dependent
MRM-1383,MRM-1382,dependent
MRM-1347,MRM-1391,dependent
MRM-1347,MRM-1392,dependent
MRM-1399,MRM-980,dependent
MRM-1381,MRM-1347,dependent
MRM-1381,MRM-1348,dependent
