issue_id,topic_ngram
MRM-431,org.apache.maven.project.defaultmavenprojectbuilder.buildfromrepository(defaultmavenprojectbuilder.java:225_org.apache.maven.project.artifact.mavenmetadatasource.retrieve(mavenmetadatasource.java:102
MRM-431,org.apache.maven.project.artifact.mavenmetadatasource.retrieve(mavenmetadatasource.java:102_morecaus
MRM-431,morecaus_org.apache.maven.artifact.resolver.artifactresolutionexcept
MRM-431,org.apache.maven.artifact.resolver.artifactresolutionexcept_error
MRM-431,snapshot_org.apache.maven.artifact.resolver.defaultartifactresolver.resolve(defaultartifactresolver.java:140
MRM-431,org.apache.maven.artifact.resolver.defaultartifactresolver.resolve(defaultartifactresolver.java:140_org.apache.maven.artifact.resolver.defaultartifactresolver.resolve(defaultartifactresolver.java:63
MRM-431,org.apache.maven.artifact.resolver.defaultartifactresolver.resolve(defaultartifactresolver.java:63_org.apache.maven.project.defaultmavenprojectbuilder.findmodelfromrepository(defaultmavenprojectbuilder.java:467
MRM-431,org.apache.maven.project.defaultmavenprojectbuilder.findmodelfromrepository(defaultmavenprojectbuilder.java:467_morecaus
MRM-431,morecaus_org.apache.maven.wagon.transferfailedexcept
MRM-431,org.apache.maven.wagon.transferfailedexcept_error
MRM-431,file_org.apache.maven.wagon.providers.http.lightweighthttpwagon.fillinputdata(lightweighthttpwagon.java:99
MRM-431,org.apache.maven.wagon.providers.http.lightweighthttpwagon.fillinputdata(lightweighthttpwagon.java:99_org.apache.maven.wagon.streamwagon.get(streamwagon.java:68
MRM-431,org.apache.maven.wagon.streamwagon.get(streamwagon.java:68_org.apache.maven.artifact.manager.defaultwagonmanager.getremotefile(defaultwagonmanager.java:369
MRM-431,org.apache.maven.artifact.manager.defaultwagonmanager.getremotefile(defaultwagonmanager.java:369_org.apache.maven.artifact.manager.defaultwagonmanager.getartifact(defaultwagonmanager.java:282
MRM-431,org.apache.maven.artifact.manager.defaultwagonmanager.getartifact(defaultwagonmanager.java:282_org.apache.maven.artifact.manager.defaultwagonmanager.getartifact(defaultwagonmanager.java:244
MRM-431,org.apache.maven.artifact.manager.defaultwagonmanager.getartifact(defaultwagonmanager.java:244_org.apache.maven.artifact.resolver.defaultartifactresolver.resolve(defaultartifactresolver.java:124
MRM-431,org.apache.maven.artifact.resolver.defaultartifactresolver.resolve(defaultartifactresolver.java:124_morecaus
MRM-431,morecaus_java.io.ioexcept
MRM-431,java.io.ioexcept_server
MRM-431,server_return
MRM-431,return_http
MRM-431,http_respons
MRM-431,respons_code
MRM-431,code_url
MRM-431,url_http://trn
MRM-431,xmlsec/1.3.0_xmlsec-1.3.0.pom
MRM-431,xmlsec-1.3.0.pom_sun.net.www.protocol.http.httpurlconnection.getinputstream(httpurlconnection.java:1174
MRM-431,sun.net.www.protocol.http.httpurlconnection.getinputstream(httpurlconnection.java:1174_org.apache.maven.wagon.providers.http.lightweighthttpwagon.fillinputdata(lightweighthttpwagon.java:85
MRM-431,org.apache.maven.wagon.providers.http.lightweighthttpwagon.fillinputdata(lightweighthttpwagon.java:85_more[info
MRM-431,more[info_------------------------------------------------------------------------[info
MRM-431,------------------------------------------------------------------------[info_total
MRM-431,total_time
MRM-431,time_second[info
MRM-431,second[info_finish
MRM-431,finish_tue
MRM-431,tue_jul
MRM-431,jul_15:05:00
MRM-431,15:05:00_gmt-03:00
MRM-431,gmt-03:00_2007[info
MRM-431,2007[info_final
MRM-431,final_memori
MRM-431,memori_2m/4m[info
MRM-431,2m/4m[info_------------------------------------------------------------------------{code
MRM-402,javadoc_jar
MRM-402,jar_list
MRM-402,list_jar
MRM-402,jar_download
MRM-402,download_box
MRM-402,box_artifact
MRM-402,artifact_attach
MRM-402,attach_javadoc
MRM-402,jar_notic
MRM-402,notic_describ
MRM-402,describ_jar
MRM-402,jar_javadoc
MRM-456,current_configur
MRM-456,configur_code
MRM-456,code_like
MRM-456,like_complain
MRM-456,complain_multipl
MRM-456,multipl_sourc
MRM-456,sourc_alpha-1
MRM-456,alpha-1_like
MRM-456,like_config
MRM-456,config_~/.m2
MRM-456,~/.m2_archiva.xml.but
MRM-456,archiva.xml.but_default
MRM-456,default_distribut
MRM-456,distribut_work
MRM-456,work_$
MRM-456,$_appserver.base}/conf
MRM-456,appserver.base}/conf_archiva.xmlthi
MRM-456,archiva.xmlthi_complain
MRM-456,complain_save
MRM-456,save_default
MRM-456,default_need
MRM-456,need_review
MRM-456,review_good
MRM-456,good_distribut
MRM-456,distribut_situat
MRM-493,download_artifact
MRM-493,artifact_store
MRM-493,store_incorrect
MRM-493,incorrect_archiva
MRM-493,archiva_manag
MRM-493,manag_repositori
MRM-493,repositori_add
MRM-493,add_new
MRM-493,new_local
MRM-493,local_directori
MRM-493,directori_archiva
MRM-493,repositori_would
MRM-493,would_repo
MRM-493,repo_trax".although
MRM-493,trax".although_proxi
MRM-493,proxi_connector
MRM-493,connector_setup
MRM-493,setup_new
MRM-493,new_archiva
MRM-493,repositori_download
MRM-493,store_repositori
